ID | AMOUNT | CLASS | PROJECT | METHOD | DATE_D | CREATED_AT
----------------------------------------------------------------------------------------------------
1719 |   650.00 | agencies     | VIVA Global:WNG/01/2 | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1720 |   980.00 | agencies     | Discmen Entertainmen | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1721 |  3000.00 | agencies     | VIVA Global:WNG/01/2 | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1722 |  2500.00 | agencies     | VIVA Global:WNG/01/2 | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1723 |  2160.00 | corporates   | Eland Swift Limited  | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1724 |   120.00 | corporates   | Eland Swift Limited  | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1725 |   200.00 | other        |                      | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1726 |   150.00 | event_planners | Grip Events:WNG/12/2 | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1727 |   100.00 | event_planners | Grip Events:WNG/12/2 | cash     | 2026-02-01 00:00:00 | 2026-02-04 10:11:47
1728 |  1800.00 | agencies     | VIVA Global:WNG/01/2 | cash     | 2026-03-01 00:00:00 | 2026-02-04 10:11:47
1729 |   250.00 | admin        |                      | cash     | 2026-03-01 00:00:00 | 2026-02-04 10:11:47
1730 |   400.00 | agencies     | VIVA Global:WNG/01/2 | cash     | 2026-03-01 00:00:00 | 2026-02-04 10:11:47
1731 |  1500.00 | admin        |                      | cash     | 2026-03-01 00:00:00 | 2026-02-04 10:11:47
1732 |   573.00 | admin        |                      | cash     | 2026-03-01 00:00:00 | 2026-02-04 10:11:47
